county,population
Dorchester,32612
Jackson,32588
Henry,32345
Hale,32247
Jefferson,32234
Claiborne,32221
Chester,32177
Evangeline,32162
Lyon,32145
Polk,32109
Jefferson Davis,32083
Lake,32073
Franklin,31978
Gilmer,31976
Juneau,31969
Logan,31826
Marshall,31728
Malheur,31701
Stone,31697
Sheridan,31585
Caroline,31541
Coos,31386
Amherst,31385
Delta,31353
Pontotoc,31312
Titus,31284
Washington,31261
Huron,31258
Lassen,31177
Montgomery,31143
Clare,31109
Powhatan,31074
Clarendon,31037
Adams,31034
Bee,31000
Greene,30954
Vernon,30915
Madison,30914
Polk,30905
Wabash,30901
Summit,30857
McCurtain,30825
Trempealeau,30786
Freeborn,30752
Haralson,30720
Muhlenberg,30712
Austin,30712
Boyle,30708
Elk,30703
Cass,30688
Jasper,30658
Kleberg,30629
Obion,30570
Hardin,30527
Wayne,30519
Williamsburg,30517
Giles,30442
Mecklenburg,30431
Caledonia,30425
Grimes,30385
Ottawa,30360
Meade,30297
Door,30279
Bolivar,30163
Franklin,30145
Randolph,30142
McPherson,30130
Marshall,30129
Park,30109
Knox,30034
Meade,30032
Schoharie,29979
Iberville,29950
Currituck,29612
Orange,29594
Bladen,29591
Smyth,29585
Pine,29411
Sanpete,29209
Cherokee,29197
Marion,29190
Morgan,29186
Mason,29177
Sumter,29174
Gallia,29162
Carroll,29158
Decatur,29118
Adams,29098
Elmore,29046
Ripley,29039
Marion,29010
Le Sueur,28936
Neshoba,28927
Palo Pinto,28920
Monroe,28919
Alpena,28908
Marion,28900
Fayette,28880
Ellis,28870
Van Wert,28824
Garrett,28713
Dawson,28704
Hancock,28658
Glenn,28623
Cass,28582
Codington,28556
Stoddard,28547
Carroll,28526
Jones,28526
Marion,28493
Carroll,28461
White,28454
Lincoln,28403
Fredericksburg,28383
Custer,28332
Montgomery,28271
Peach,28269
Wells,28261
Wythe,28219
Baker,28186
Washington,28167
Tate,28135
Dinwiddie,28083
Montgomery,28078
Dillon,28031
Union,28009
Copiah,27994
San Jacinto,27983
Winchester,27981
Hocking,27938
Henderson,27906
Bradford,27888
Logan,27870
Grant,27856
Upson,27856
Perry,27847
Dunklin,27795
Randolph,27782
White,27764
Fluvanna,27764
Scott,27754
Jackson,27753
Logan,27731
West Baton Rouge,27666
Jennings,27584
Henry,27581
Adams,27510
Orleans,27492
Tillamook,27471
King George,27468
Leflore,27432
Del Norte,27293
Gillespie,27202
Elbert,27152
McDonough,27102
Pike,27080
Cibola,27059
San Miguel,27036
Woodford,27017
Union,26990
Cass,26963
Toombs,26943
Hardin,26939
Mineral,26922
Mille Lacs,26912
De Soto,26897
Stephens,26842
Yazoo,26837
Ashe,26831
Oceana,26788
Iroquois,26746
Carroll,26731
Geneva,26726
Juneau,26695
Boone,26669
Caddo,26626
Lewis,26618
Wasco,26603
Grayson,26586
Lawrence,26574
Carter,26515
Edgefield,26508
Hart,26484
Clay,26431
Decatur,26411
Marlboro,26285
Taylor,26205
Montezuma,26204
Union,26192
Payette,26190
Harlan,26185
